,Discipline,Field,Topic
1006,Health Sciences,"Traditional, complementary and integrative medicine",Naturopathy
1007,Health Sciences,"Traditional, complementary and integrative medicine",Traditional Chinese medicine and treatments 
1008,Health Sciences,"Traditional, complementary and integrative medicine","Traditional, complementary and integrative medicine "
1009,Health Sciences,Other health sciences,Other health sciences 
1010,"History, Heritage And Archaeology",Archaeology,Archaeological science 
1011,"History, Heritage And Archaeology",Archaeology,"Archaeology of Asia, Africa and the Americas "
1012,"History, Heritage And Archaeology",Archaeology,Archaeology of Australia (excl. Aboriginal and Torres Strait Islander)
1013,"History, Heritage And Archaeology",Archaeology,"Archaeology of Europe, the Mediterranean and the Levant"
1014,"History, Heritage And Archaeology",Archaeology,Archaeology of New Zealand (excl. Māori)
1015,"History, Heritage And Archaeology",Archaeology,Digital archaeology
1016,"History, Heritage And Archaeology",Archaeology,Historical archaeology (incl. industrial archaeology)
1017,"History, Heritage And Archaeology",Archaeology,Maritime archaeology 
1018,"History, Heritage And Archaeology",Archaeology,Archaeology 
1019,"History, Heritage And Archaeology","Heritage, archive and museum studies","Archival, repository and related studies"
1020,"History, Heritage And Archaeology","Heritage, archive and museum studies","Critical heritage, museum and archive studies"
1021,"History, Heritage And Archaeology","Heritage, archive and museum studies",Cultural heritage management (incl. world heritage)
1022,"History, Heritage And Archaeology","Heritage, archive and museum studies",Digital heritage
1023,"History, Heritage And Archaeology","Heritage, archive and museum studies",Heritage and cultural conservation
1024,"History, Heritage And Archaeology","Heritage, archive and museum studies",Heritage collections and interpretations
1025,"History, Heritage And Archaeology","Heritage, archive and museum studies","Heritage tourism, visitor and audience studies"
1026,"History, Heritage And Archaeology","Heritage, archive and museum studies",Intangible heritage
1027,"History, Heritage And Archaeology","Heritage, archive and museum studies",Materials conservation
1028,"History, Heritage And Archaeology","Heritage, archive and museum studies","Heritage, archive and museum studies "
1029,"History, Heritage And Archaeology",Historical studies,Asian history
1030,"History, Heritage And Archaeology",Historical studies,Australian history 
1031,"History, Heritage And Archaeology",Historical studies,Biography
1032,"History, Heritage And Archaeology",Historical studies,British history
1033,"History, Heritage And Archaeology",Historical studies,Classical Greek and Roman history
1034,"History, Heritage And Archaeology",Historical studies,Digital history
1035,"History, Heritage And Archaeology",Historical studies,Environmental history
1036,"History, Heritage And Archaeology",Historical studies,"European history (excl. British, classical Greek and Roman)"
1037,"History, Heritage And Archaeology",Historical studies,Gender history
1038,"History, Heritage And Archaeology",Historical studies,Global and world history
1039,"History, Heritage And Archaeology",Historical studies,Historical studies of crime
1040,"History, Heritage And Archaeology",Historical studies,Histories of race
1041,"History, Heritage And Archaeology",Historical studies,"History of empires, imperialism and colonialism"
1042,"History, Heritage And Archaeology",Historical studies,History of religion
1043,"History, Heritage And Archaeology",Historical studies,History of the pacific
1044,"History, Heritage And Archaeology",Historical studies,International history
1045,"History, Heritage And Archaeology",Historical studies,Latin and South American history
1046,"History, Heritage And Archaeology",Historical studies,Middle Eastern and North African history
1047,"History, Heritage And Archaeology",Historical studies,Migration history
1048,"History, Heritage And Archaeology",Historical studies,New Zealand history
1049,"History, Heritage And Archaeology",Historical studies,North American history
1050,"History, Heritage And Archaeology",Historical studies,Sub-Saharan African history
1051,"History, Heritage And Archaeology",Historical studies,Transnational history
1052,"History, Heritage And Archaeology",Historical studies,Historical studies 
1053,"History, Heritage And Archaeology","Other history, heritage and archaeology","Other history, heritage and archaeology "
1054,Human Society,Anthropology,Anthropology of development
1055,Human Society,Anthropology,Anthropology of gender and sexuality
1056,Human Society,Anthropology,Biological (physical) anthropology 
1057,Human Society,Anthropology,Environmental anthropology 
1058,Human Society,Anthropology,Linguistic anthropology
1059,Human Society,Anthropology,Medical anthropology 
1060,Human Society,Anthropology,Social and cultural anthropology 
1061,Human Society,Anthropology,Anthropology 
1062,Human Society,Criminology,Causes and prevention of crime
1063,Human Society,Criminology,"Correctional theory, offender treatment and rehabilitation"
1064,Human Society,Criminology,Courts and sentencing
1065,Human Society,Criminology,Crime and social justice 
1066,Human Society,Criminology,Criminological theories
1067,Human Society,Criminology,Critical approaches to crime
1068,Human Society,Criminology,Cybercrime
1069,Human Society,Criminology,Environmental crime
1070,Human Society,Criminology,Gender and crime
1071,Human Society,Criminology,Organised crime
1072,Human Society,Criminology,"Police administration, procedures and practice "
1073,Human Society,Criminology,Private policing and security services 
1074,Human Society,Criminology,Race/ethnicity and crime
1075,Human Society,Criminology,Sociological studies of crime
1076,Human Society,Criminology,State crime
1077,Human Society,Criminology,"Technology, crime and surveillance"
1078,Human Society,Criminology,Terrorism
1079,Human Society,Criminology,Victims
1080,Human Society,Criminology,White collar crime
1081,Human Society,Criminology,Criminology n
1082,Human Society,Demography,Family and household studies 
1083,Human Society,Demography,Fertility
1084,Human Society,Demography,Migration
1085,Human Society,Demography,Mortality
1086,Human Society,Demography,Population trends and policies 
1087,Human Society,Demography,Demography 
1088,Human Society,Development studies,Development cooperation
1089,Human Society,Development studies,"Humanitarian disasters, conflict and peacebuilding"
1090,Human Society,Development studies,"Labour, migration and development "
1091,Human Society,Development studies,Political economy and social change
1092,Human Society,Development studies,"Poverty, inclusivity and wellbeing "
1093,Human Society,Development studies,Rural community development
1094,Human Society,Development studies,Socio-economic development
1095,Human Society,Development studies,Urban community development
1096,Human Society,Development studies,Development studies 
1097,Human Society,Gender studies,Feminist and queer theory
1098,Human Society,Gender studies,Feminist methodologies 
1099,Human Society,Gender studies,Feminist theory
1100,Human Society,Gender studies,Gender relations
1101,Human Society,Gender studies,Intersectional studies
1102,Human Society,Gender studies,Sexualities 
1103,Human Society,Gender studies,Studies of men and masculinities 
1104,Human Society,Gender studies,Transgender studies 
1105,Human Society,Gender studies,Women's studies (incl. girls' studies)
1106,Human Society,Gender studies,Gender studies 
1107,Human Society,Human geography,Cultural geography
1108,Human Society,Human geography,Development geography
1109,Human Society,Human geography,Economic geography 
1110,Human Society,Human geography,Environmental geography
1111,Human Society,Human geography,Health geography
1112,Human Society,Human geography,Political geography
1113,Human Society,Human geography,Population geography
1114,Human Society,Human geography,"Recreation, leisure and tourism geography "
1115,Human Society,Human geography,Rural and regional geography
1116,Human Society,Human geography,Social geography
1117,Human Society,Human geography,Transport geography
1118,Human Society,Human geography,Urban geography
